country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
BEN,≥ 2 weekly,case,1,12.7,0.2,0,0,3,-0.5,-0.5,NA,0.6,0.5,NA
BFA,≥ 2 weekly,case,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CIV,≥ 2 weekly,case,1,24,0.2,0,NA,NA,-0.3,-0.3,NA,NA,NA,NA
COG,≥ 2 weekly,case,1,0,0,0,NA,NA,-1,-1,NA,NA,NA,NA
LBR,≥ 2 weekly,case,1,26.2,0.1,0,NA,NA,1.8,1.2,NA,NA,NA,NA
MLI,≥ 2 weekly,case,1,8,0,0,NA,NA,0.3,0.1,NA,NA,NA,NA
NAM,≥ 2 weekly,case,1,26,0.5,0,NA,NA,0.4,0.4,NA,NA,NA,NA
TGO,≥ 2 weekly,case,1,0,0,0,NA,NA,-0.4,-0.4,NA,NA,NA,NA
ZMB,≥ 2 weekly,case,1,17.5,0.1,0,NA,NA,-0.4,-0.4,NA,NA,NA,NA
ZWE,≥ 2 weekly,case,1,38.6,0.5,0,0,2,-0.9,-0.9,NA,0.3,-0.7,NA
BEN,≥ 5 weekly,case,2,13,0.2,0,0,4,-0.5,-0.4,NA,0.6,-0.3,NA
CIV,≥ 5 weekly,case,2,24,0.2,0,NA,NA,-0.3,-0.3,NA,NA,NA,NA
MLI,≥ 5 weekly,case,2,1.2,0,0,NA,NA,-1.1,-0.9,NA,NA,NA,NA
NAM,≥ 5 weekly,case,2,15,0.3,0,NA,NA,-1.4,-1.4,NA,NA,NA,NA
ZMB,≥ 5 weekly,case,2,35,0.2,0,NA,NA,0.8,0.8,NA,NA,NA,NA
ZWE,≥ 5 weekly,case,2,48,0.7,0,0,2,-0.3,-0.4,NA,0.3,-0.7,NA
BEN,≥ 10 weekly,case,3,14.9,0.2,0,0,5,-0.3,-0.2,NA,0.6,-1.1,NA
CIV,≥ 10 weekly,case,3,24,0.2,0,NA,NA,-0.3,-0.3,NA,NA,NA,NA
MLI,≥ 10 weekly,case,3,0.4,0,0,NA,NA,-1.2,-1.2,NA,NA,NA,NA
ZWE,≥ 10 weekly,case,3,48,0.7,0,0,2,-0.3,-0.4,NA,0.3,-0.7,NA
BEN,≥ 25 weekly,case,4,20,0.3,0,0,5,0.1,0.2,NA,0.6,-1.1,NA
CIV,≥ 25 weekly,case,4,3,0,0,NA,NA,-1.2,-1.4,NA,NA,NA,NA
MLI,≥ 25 weekly,case,4,1,0,0,NA,NA,-1.1,-1.2,NA,NA,NA,NA
ZWE,≥ 25 weekly,case,4,46,0.7,0,0,2,-0.4,-0.5,NA,0.3,-0.7,NA
ZWE,≥ 50 weekly,case,5,56,0.8,0,0,2,0.1,0.2,NA,0.3,-0.7,NA
TZA,≥ 100 weekly,case,6,60.3,0.2,0,1,NA,-1.2,-1.3,-1.1,-1.5,NA,NA
ZWE,≥ 100 weekly,case,6,68,1.2,0,0,2,0.8,1.2,NA,0.3,-0.7,NA
SOM,≥ 250 weekly,case,7,306,4.2,1,1,NA,-0.2,2.8,3.7,-2,NA,NA
AGO,≥ 5 total,cum case,1,0,0,0,NA,NA,-0.4,-0.4,NA,NA,NA,NA
BEN,≥ 5 total,cum case,1,17.1,0.2,0,0,2,-0.1,-0.2,NA,0.6,1.2,NA
BFA,≥ 5 total,cum case,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CIV,≥ 5 total,cum case,1,74,0.5,0,NA,NA,1.9,1.8,NA,NA,NA,NA
COG,≥ 5 total,cum case,1,1.3,0,0,NA,NA,0.2,0.2,NA,NA,NA,NA
LBR,≥ 5 total,cum case,1,14.1,0.1,0,NA,NA,-0.1,0.6,NA,NA,NA,NA
MLI,≥ 5 total,cum case,1,8.9,0,0,NA,NA,0.5,1,NA,NA,NA,NA
MRT,≥ 5 total,cum case,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
NAM,≥ 5 total,cum case,1,28,0.5,0,NA,NA,0.7,0.7,NA,NA,NA,NA
RWA,≥ 5 total,cum case,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
TGO,≥ 5 total,cum case,1,0,0,0,NA,NA,-0.4,-0.4,NA,NA,NA,NA
ZMB,≥ 5 total,cum case,1,9,0,0,NA,NA,-1,-1,NA,NA,NA,NA
ZWE,≥ 5 total,cum case,1,29.1,0.4,0,0,0,-1.4,-1.3,NA,0.3,1.6,NA
AGO,≥ 10 total,cum case,2,0,0,0,NA,NA,-0.4,-0.4,NA,NA,NA,NA
BEN,≥ 10 total,cum case,2,15.4,0.2,0,0,2,-0.3,-0.5,NA,0.6,1.2,NA
BFA,≥ 10 total,cum case,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CIV,≥ 10 total,cum case,2,74,0.5,0,NA,NA,1.9,1.8,NA,NA,NA,NA
