country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
SOM,≥ 50 total,cum case,4,80,1.9,0,NA,NA,0.8,0.8,NA,NA,NA,NA
UGA,≥ 50 total,cum case,4,0,0,0,NA,NA,-0.7,-0.7,NA,NA,NA,NA
ZWE,≥ 50 total,cum case,4,154,9.5,0,NA,NA,1.9,1.9,NA,NA,NA,NA
CAF,≥ 100 total,cum case,5,26,1,0,NA,NA,0.6,0.6,NA,NA,NA,NA
COG,≥ 100 total,cum case,5,16,0.5,0,NA,NA,-2.2,-2.2,NA,NA,NA,NA
SOM,≥ 100 total,cum case,5,80,1.9,0,NA,NA,0.8,0.8,NA,NA,NA,NA
ZWE,≥ 100 total,cum case,5,154,9.5,0,NA,NA,1.9,1.9,NA,NA,NA,NA
ZWE,≥ 500 total,cum case,6,83,5.1,0,NA,NA,-0,-0,NA,NA,NA,NA
BEN,≥ .25 per 10K,rate,1,0.5,0,0,NA,NA,-0.3,-0.3,NA,NA,NA,NA
CAF,≥ .25 per 10K,rate,1,21,0.8,0,NA,NA,-0.8,-0.8,NA,NA,NA,NA
COG,≥ .25 per 10K,rate,1,86.2,2.8,0,NA,NA,0.4,0.4,NA,NA,NA,NA
GNB,≥ .25 per 10K,rate,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
MWI,≥ .25 per 10K,rate,1,0.8,0,0,NA,NA,-0.7,-0.7,NA,NA,NA,NA
SOM,≥ .25 per 10K,rate,1,0,0,0,NA,NA,-0.7,-0.7,NA,NA,NA,NA
TZA,≥ .25 per 10K,rate,1,1,0,0,NA,NA,0.1,0.1,NA,NA,NA,NA
UGA,≥ .25 per 10K,rate,1,4,0.1,0,NA,NA,-0.2,-0.2,NA,NA,NA,NA
ZWE,≥ .25 per 10K,rate,1,43,2.7,0,NA,NA,-1.1,-1.1,NA,NA,NA,NA
BEN,≥ .5 per 10K,rate,2,0.5,0,0,NA,NA,-0.3,-0.3,NA,NA,NA,NA
CAF,≥ .5 per 10K,rate,2,21,0.8,0,NA,NA,-0.8,-0.8,NA,NA,NA,NA
COG,≥ .5 per 10K,rate,2,86.2,2.8,0,NA,NA,0.4,0.4,NA,NA,NA,NA
GNB,≥ .5 per 10K,rate,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
MWI,≥ .5 per 10K,rate,2,1,0,0,NA,NA,-0.5,-0.6,NA,NA,NA,NA
SOM,≥ .5 per 10K,rate,2,0,0,0,NA,NA,-0.7,-0.7,NA,NA,NA,NA
TZA,≥ .5 per 10K,rate,2,1,0,0,NA,NA,0.1,0.1,NA,NA,NA,NA
UGA,≥ .5 per 10K,rate,2,0,0,0,NA,NA,-0.7,-0.7,NA,NA,NA,NA
ZWE,≥ .5 per 10K,rate,2,43,2.7,0,NA,NA,-1.1,-1.1,NA,NA,NA,NA
BEN,≥ 1 per 10K,rate,3,1,0,0,NA,NA,1.4,1.4,NA,NA,NA,NA
CAF,≥ 1 per 10K,rate,3,21,0.8,0,NA,NA,-0.8,-0.8,NA,NA,NA,NA
