country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
MLI,≥ 5 total,cum case,1,3,0,0,NA,NA,0.4,0.4,NA,NA,NA,NA
TGO,≥ 5 total,cum case,1,10,0,0,NA,NA,2.3,2.3,NA,NA,NA,NA
ZWE,≥ 5 total,cum case,1,1327.7,0.6,0.4,0,1,0.3,0.3,0.5,NA,1.4,NA
AGO,≥ 10 total,cum case,2,98.9,0.1,0.1,NA,NA,0,0,0.4,NA,NA,NA
BDI,≥ 10 total,cum case,2,2,0,0,NA,NA,-0.1,-0.1,NA,NA,NA,NA
BEN,≥ 10 total,cum case,2,47.1,0,0,NA,NA,2.4,1.6,NA,NA,NA,NA
CAF,≥ 10 total,cum case,2,28,0,0,NA,NA,1.4,1.4,NA,NA,NA,NA
CIV,≥ 10 total,cum case,2,12.7,0,0,NA,NA,-0.8,-0.8,NA,NA,NA,NA
LBR,≥ 10 total,cum case,2,30,0,0,NA,NA,1.7,1.7,NA,NA,NA,NA
MLI,≥ 10 total,cum case,2,3,0,0,NA,NA,0.4,0.4,NA,NA,NA,NA
TGO,≥ 10 total,cum case,2,4.6,0,0,NA,NA,-0.1,-0.1,NA,NA,NA,NA
ZWE,≥ 10 total,cum case,2,1514.9,0.6,0.4,0,1,0.5,0.5,0.8,NA,1.4,NA
AGO,≥ 25 total,cum case,3,103.4,0.1,0.1,NA,NA,0.1,0.1,0.5,NA,NA,NA
BDI,≥ 25 total,cum case,3,2,0,0,NA,NA,-0.1,0.6,NA,NA,NA,NA
BEN,≥ 25 total,cum case,3,22,0,0,NA,NA,0.5,0.7,NA,NA,NA,NA
CAF,≥ 25 total,cum case,3,24,0,0,NA,NA,1,1,NA,NA,NA,NA
CIV,≥ 25 total,cum case,3,27,0,0,NA,NA,1.2,1.2,NA,NA,NA,NA
MLI,≥ 25 total,cum case,3,3,0,0,NA,NA,0.4,0.4,NA,NA,NA,NA
TGO,≥ 25 total,cum case,3,4.6,0,0,NA,NA,-0.1,-0.1,NA,NA,NA,NA
ZWE,≥ 25 total,cum case,3,1767.2,0.8,0.5,0,1,0.7,0.7,1,NA,1.4,NA
AGO,≥ 50 total,cum case,4,137.4,0.1,0.1,NA,NA,0.5,0.6,0.9,NA,NA,NA
BEN,≥ 50 total,cum case,4,14.7,0,0,NA,NA,-0.1,-0.2,NA,NA,NA,NA
CAF,≥ 50 total,cum case,4,2,0,0,NA,NA,-1.2,-1.2,NA,NA,NA,NA
ZWE,≥ 50 total,cum case,4,205,0.1,0.3,0,1,-0.6,-0.6,0.3,NA,1.4,NA
AGO,≥ 100 total,cum case,5,315.3,0.3,0.3,NA,NA,3.1,3.1,3.3,NA,NA,NA
BEN,≥ 100 total,cum case,5,9,0,0,NA,NA,-0.5,-0.9,NA,NA,NA,NA
ZWE,≥ 100 total,cum case,5,305.5,0.1,0.5,0,1,-0.5,-0.5,1,NA,1.4,NA
AGO,≥ 500 total,cum case,6,0,0,0,NA,NA,-1.4,-1.3,-0.5,NA,NA,NA
UGA,≥ 500 total,cum case,6,204.7,0.4,0,1,NA,2.9,2.8,-0.5,-1.4,NA,NA
ZWE,≥ 500 total,cum case,6,305.5,0.1,0.5,0,1,-0.5,-0.5,1,NA,1.4,NA
UGA,≥ 1000 total,cum case,7,127.5,0.2,0,1,NA,1.1,1.1,-0.5,-1.4,NA,NA
ZWE,≥ 1000 total,cum case,7,305.5,0.1,0.5,0,1,-0.5,-0.5,1,NA,1.4,NA
AGO,≥ .25 per 10K,rate,1,129,0.1,0,NA,NA,0.4,0.4,-0.5,NA,NA,NA
BEN,≥ .25 per 10K,rate,1,0.5,0,0,NA,NA,-1.1,-1.3,NA,NA,NA,NA
ZWE,≥ .25 per 10K,rate,1,88,0,0,0,3,-0.7,-0.7,-1,NA,-0.7,NA
AGO,≥ .5 per 10K,rate,2,129,0.1,0,NA,NA,0.4,0.4,-0.5,NA,NA,NA
ZWE,≥ .5 per 10K,rate,2,88,0,0,0,3,-0.7,-0.7,-1,NA,-0.7,NA
ZWE,≥ 1 per 10K,rate,3,88,0,0,0,3,-0.7,-0.7,-1,NA,-0.7,NA
UGA,≥ 1.5 per 10K,rate,4,127.5,0.2,0,1,NA,1.1,1.1,-0.5,-1.4,NA,NA
ZWE,≥ 1.5 per 10K,rate,4,88,0,0,0,3,-0.7,-0.7,-1,NA,-0.7,NA
UGA,≥ 2.5 per 10K,rate,5,127.5,0.2,0,1,NA,1.1,1.1,-0.5,-1.4,NA,NA
ZWE,≥ 2.5 per 10K,rate,5,88,0,0,0,3,-0.7,-0.7,-1,NA,-0.7,NA
UGA,≥ 5 per 10K,rate,6,127.5,0.2,0,1,NA,1.1,1.1,-0.5,-1.4,NA,NA
ZWE,≥ 5 per 10K,rate,6,88,0,0,0,3,-0.7,-0.7,-1,NA,-0.7,NA
ZWE,≥ 7.5 per 10K,rate,7,88,0,0,0,3,-0.7,-0.7,-1,NA,-0.7,NA
COG,≥ 100 weekly,case,6,NA,NA,NA,1,NA,NA,NA,NA,-1.3,NA,NA
COG,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.3,NA,NA
MOZ,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
COG,≥ 500 total,cum case,6,NA,NA,NA,1,NA,NA,NA,NA,-1.3,NA,NA
COG,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.3,NA,NA
TZA,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.6,NA,NA
SDN,≥ .5 per 10K,rate,2,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
COD,≥ 1 per 10K,rate,3,NA,NA,NA,1,NA,NA,NA,NA,-1.4,NA,NA
COG,≥ 1 per 10K,rate,3,NA,NA,NA,1,NA,NA,NA,NA,-1.3,NA,NA
MOZ,≥ 1 per 10K,rate,3,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
SDN,≥ 1 per 10K,rate,3,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
COD,≥ 1.5 per 10K,rate,4,NA,NA,NA,1,NA,NA,NA,NA,-1.4,NA,NA
COG,≥ 1.5 per 10K,rate,4,NA,NA,NA,1,NA,NA,NA,NA,-1.3,NA,NA
GHA,≥ 1.5 per 10K,rate,4,NA,NA,NA,1,NA,NA,NA,NA,-1.8,NA,NA
MOZ,≥ 1.5 per 10K,rate,4,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
SDN,≥ 1.5 per 10K,rate,4,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
CMR,≥ 2.5 per 10K,rate,5,NA,NA,NA,1,NA,NA,NA,NA,-1.4,NA,NA
COD,≥ 2.5 per 10K,rate,5,NA,NA,NA,1,NA,NA,NA,NA,-1.4,NA,NA
COG,≥ 2.5 per 10K,rate,5,NA,NA,NA,1,NA,NA,NA,NA,-1.3,NA,NA
GHA,≥ 2.5 per 10K,rate,5,NA,NA,NA,1,NA,NA,NA,NA,-1.8,NA,NA
KEN,≥ 2.5 per 10K,rate,5,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
MOZ,≥ 2.5 per 10K,rate,5,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
SDN,≥ 2.5 per 10K,rate,5,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
